id,original_isbn,original_rating,ISBN,rating
500020,,-1,0156235501,2
500016,,-1,0156235501,8
500003,,-1,0156235501,2
500019,,0.5,0156235501,6.5
500014,,-1,0156235501,2
500012,,1,0156235501,8
500001,,1,0156235501,8
500004,,1,0156235501,8
500018,,1,0156235501,8
500008,,1,0425016013,8
500012,,1,0425016013,8
500004,,1,0425016013,8
500018,,1,0425016013,8
500003,,1,0425016013,8
500022,,1,0425016013,8
500010,,1,0425016013,8
500023,,1,0425016013,8
500020,,1,0425016013,8
500001,,0.5,0425016013,6.5
500016,,1,0425016013,5
500019,,1,0425016013,8
500014,,1,0425016013,8
500013,,1,0345321383,8
500014,,1,0345321383,8
500019,,1,0345321383,8
500012,,1,0345321383,8
500023,,1,0345321383,8
500018,,1,0345321383,8
500016,,1,0345321383,8
500014,,1,0345321383,8
500001,,1,0345321383,8
500003,,1,0345321383,8
500004,,1,0345321383,8
500006,,1,0345321383,8
500014,,1,0345321383,8
500024,,1,0345321383,8
500018,,1,0553576399,8
500003,,0.5,0553576399,6.5
500004,,0.5,0553576399,6.5
500019,,-0.5,0553576399,3.5
500012,,-1,0553576399,2
500001,,-1,0553576399,2
500008,,-1,0553576399,2
500006,,-1,0553576399,2
500016,,1,0425062775,8
500014,,0.5,0425062775,6.5
500012,,0.5,0425062775,6.5
500013,,,0425062775,5
500023,,1,0425062775,8
500003,,1,0425062775,8
500006,,1,0425062775,8
500004,,1,0425062775,8
500026,,0.5,0425062775,6.5
500001,,1,0425062775,8
500018,,0.5,0425062775,6.5
500016,,1,0345316754,8
500014,,0.5,0345316754,6.5
500004,,0.5,0345316754,6.5
500003,,1,0345316754,8
500023,,-1,0345316754,2
500018,,0.5,0345316754,6.5
500019,,1,0345316754,8
500012,,1,0345316754,8
500016,,0.5,0671460897,6.5
500018,,1,0671460897,8
500004,,-0.5,0671460897,3.5
500001,,-0.5,0671460897,3.5
500033,,1,0671460897,8
500034,,1,0671460897,8
500012,,-1,0671460897,2
500001,,-1,0425043657,2
500023,,1,0425043657,8
500019,,1,0425043657,8
500009,,1,0425043657,8
500003,,1,0425043657,8
500013,,1,0425043657,8
500012,,1,0425043657,8
500004,,1,0425043657,8
500026,,1,0425043657,8
500021,,1,0425043657,8
500018,,1,0425043657,8
500034,,1,0425043657,8
500016,,1,0425043657,8
500030,,1,0425043657,8
500023,,1,0425043657,8
500016,,0.5,0671540661,6.5
500014,,-1,0671540661,2
500032,,0.5,0671540661,6.5
500013,,0.5,0671540661,6.5
500001,,1,0671540661,8
500019,,1,0671540661,8
500004,,0.5,0671540661,6.5
500012,,1,0671540661,8
500036,,1,0441569579,8
500038,,1,0441569579,8
500016,,1,0441569579,8
500003,,0.5,0441569579,6.5
500014,,1,0441569579,8
500012,,1,0441569579,8
500013,,-1,0441569579,2
500004,,1,0441569579,8
500039,,-0.5,0441569579,3.5
500018,,0.5,0441569579,6.5
500001,,1,0441569579,8
500034,,-1,0441569579,2
500019,,1,0441569579,8
500030,,1,0441569579,8
500034,,1,0671831526,8
500019,,-1,0671831526,2
500018,,1,0671831526,8
500003,,0.5,0671831526,6.5
500021,,-0.5,0671831526,3.5
500001,,1,0671831526,8
500016,,-0.5,0671831526,3.5
500013,,-0.5,0671831526,3.5
500040,,0.5,0671831526,6.5
500034,,1,0380979012,8
500012,,1,0380979012,8
500003,,1,0380979012,8
500016,,1,0380979012,8
500032,,1,0380979012,8
500019,,1,0380979012,8
500001,,1,0380979012,8
500018,,1,0380979012,8
500048,,1,0380979012,8
500043,,1,0380979012,8
500032,,-1,0553292242,2
500013,,-1,0553292242,2
500016,,0,0553292242,8
500048,,1,0553292242,8
500014,,0.5,0553292242,6.5
500012,,-0.5,0553292242,3.5
500049,,1,0553292242,8
500001,,0.5,0553292242,6.5
500034,,-0.5,0553292242,3.5
500043,,1,0553292242,8
500003,,-0.5,0553292242,3.5
500030,,-0.5,0553292242,3.5
500018,,1,0553292242,8
500048,,4,0425075052,8
500014,,3.14159,0425075052,6.28318
500016,,0,0425075052,1
500050,,3,0425075052,6
500001,,2,0425075052,4
500012,,2,0425075052,4
500034,,3,0425075052,6
500013,,4,0425075052,8
500018,,3.75,0425075052,7.5
500043,,2,0425075052,4
500032,,5,0425075052,10
500034,,4,0425043657,8
500019,,3,0425043657,6
500003,,3.75,0425043657,7.5
500016,,5,0425043657,10
500043,,5,0425043657,10
500032,,3,0425043657,6
500013,,4,0425043657,8
500056,,4.615384615,0425043657,9.23076923
500001,,4,0425043657,8
500053,,3,0425043657,6
500013,,1.5,0425043657,3
500013,,4,0553576305,8
500003,,3,0553576305,6
500059,,1,0553576305,2
500064,,3.5,0553576305,7
500014,,1.75,0553576305,3.5
500034,,1.5,0553576305,3
500001,,2,0553576305,4
500057,,2,0553576305,4
500065,,1.5,0553576305,3
